"Name","PackageFullName","Publisher"
"Microsoft.Paint","Microsoft.Paint_11.2511.291.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.StorePurchaseApp","Microsoft.StorePurchaseApp_22511.1401.3.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.M365Companions","Microsoft.M365Companions_2.2512.12000.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.WindowsAppRuntime.1.8","Microsoft.WindowsAppRuntime.1.8_8000.731.1532.0_x86__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.WindowsAppRuntime.1.8","Microsoft.WindowsAppRuntime.1.8_8000.731.1532.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"AppUp.IntelOptaneMemoryandStorageManagement","AppUp.IntelOptaneMemoryandStorageManagement_20.0.1024.0_x64__8j3eq9eme6ctt","CN=EB51A5DA-0E72-4863-82E4-EA21C1F8DFE3"
"Microsoft.WindowsNotepad","Microsoft.WindowsNotepad_11.2510.14.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"MicrosoftWindows.57242383.Tasbar","MicrosoftWindows.57242383.Tasbar_1000.26100.7623.0_x64__cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"MicrosoftWindows.59336768.Speion","MicrosoftWindows.59336768.Speion_1000.26100.7623.0_x64__cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"MicrosoftWindows.59337133.Voiess","MicrosoftWindows.59337133.Voiess_1000.26100.7623.0_x64__cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"MicrosoftWindows.59337145.Livtop","MicrosoftWindows.59337145.Livtop_1000.26100.7623.0_x64__cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"MicrosoftWindows.59379618.InpApp","MicrosoftWindows.59379618.InpApp_1000.26100.7623.0_x64__cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"MicrosoftWindows.Client.CoreAI","MicrosoftWindows.Client.CoreAI_1000.26100.7623.0_x64__cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.LockApp","Microsoft.LockApp_10.0.26100.4202_neutral__cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.StartExperiencesApp","Microsoft.StartExperiencesApp_1.195.0.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"RivetNetworks.KillerControlCenter","RivetNetworks.KillerControlCenter_40.25.1125.0_x64__rh07ty8m5nkag","CN=EB742617-4934-4951-8B93-E211D04E5A38"
"Microsoft.WindowsAppRuntime.1.7","Microsoft.WindowsAppRuntime.1.7_7000.744.1258.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.WindowsAppRuntime.1.7","Microsoft.WindowsAppRuntime.1.7_7000.744.1258.0_x86__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"MicrosoftCorporationII.WinAppRuntime.Singleton","MicrosoftCorporationII.WinAppRuntime.Singleton_8000.731.1532.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"AD2F1837.HPPrinterControl","AD2F1837.HPPrinterControl_163.1.1121.0_x64__v10z8vjag6ke6","CN=ED346674-0FA1-4272-85CE-3187C9C86E26"
"SpotifyAB.SpotifyMusic","SpotifyAB.SpotifyMusic_1.281.264.0_x64__zpdnekdrzrea0","CN=453637B3-4E12-4CDF-B0D3-2A3C863BF6EF"
"Microsoft.OutlookForWindows","Microsoft.OutlookForWindows_1.2026.105.100_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.YourPhone","Microsoft.YourPhone_1.25122.50.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.CommandPalette","Microsoft.CommandPalette_0.8.10191.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.PowerToys.SparseApp","Microsoft.PowerToys.SparseApp_0.97.0.0_neutral__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.PowerToys.FileLocksmithContextMenu","Microsoft.PowerToys.FileLocksmithContextMenu_0.97.0.0_neutral__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.PowerToys.ImageResizerContextMenu","Microsoft.PowerToys.ImageResizerContextMenu_0.97.0.0_neutral__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.PowerToys.PowerRenameContextMenu","Microsoft.PowerToys.PowerRenameContextMenu_0.97.0.0_neutral__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"MicrosoftCorporationII.WinAppRuntime.Main.1.8","MicrosoftCorporationII.WinAppRuntime.Main.1.8_8000.731.1532.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Clipchamp.Clipchamp","Clipchamp.Clipchamp_4.5.10020.0_x64__yxz26nhyzhsrt","CN=33F0F141-36F3-4EC2-A77D-51B53D0BA0E4"
"Microsoft.MicrosoftSolitaireCollection","Microsoft.MicrosoftSolitaireCollection_4.25.1130.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.GamingApp","Microsoft.GamingApp_2512.1001.36.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.PowerAutomateDesktop","Microsoft.PowerAutomateDesktop_11.2601.105.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.DesktopAppInstaller","Microsoft.DesktopAppInstaller_1.27.460.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.WindowsStore","Microsoft.WindowsStore_22512.1401.5.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"MSTeams","MSTeams_26005.204.4249.1621_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.OfficePushNotificationUtility","Microsoft.OfficePushNotificationUtility_16.0.19628.20150_neutral__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.Office.ActionsServer","Microsoft.Office.ActionsServer_16.0.19628.20150_neutral__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"aimgr","aimgr_0.20.40.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.WindowsAlarms","Microsoft.WindowsAlarms_11.2512.0.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.ZuneMusic","Microsoft.ZuneMusic_11.2512.10.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.Copilot","Microsoft.Copilot_1.25121.81.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.OneDriveSync","Microsoft.OneDriveSync_26002.105.1.0_neutral__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"19568ShareX.ShareX","19568ShareX.ShareX_19.0.2.0_x64__egrzcvs15399j","CN=366A5DE5-2EC7-43FD-B559-05986578C4CC"
"Microsoft.Todos","Microsoft.Todos_2.153.5851.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.VisualStudioCode","Microsoft.VisualStudioCode_1.0.109.0_neutral__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.Winget.Source","Microsoft.Winget.Source_2026.204.2220.12_neutral__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.MicrosoftOfficeHub","Microsoft.MicrosoftOfficeHub_19.2602.33151.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
